date,temperature,pressure,humidity,sunshine
2022-01-01 00:30:00,-21.8,765.5,83.0,7.07
2022-01-01 01:00:00,-21.8,765.5,83.0,7.07
2022-01-01 01:30:00,-21.9,765.6,84.0,7.07
2022-01-01 02:00:00,-22.1,765.6,84.0,7.07
2022-01-01 02:30:00,-22.1,765.6,84.0,7.07
2022-01-01 03:00:00,-22.2,765.7,84.0,7.07
2022-01-01 03:30:00,-22.1,765.6,84.0,7.07
2022-01-01 04:00:00,-22.1,765.6,84.0,7.07
2022-01-01 04:30:00,-22.2,765.7,83.29032258064517,7.07
2022-01-01 05:00:00,-22.2,765.7,84.0,7.07
2022-01-01 05:30:00,-22.0,765.6,84.0,7.07
2022-01-01 06:00:00,-22.0,765.6,83.27659574468085,7.07
2022-01-01 06:30:00,-22.0,765.6,83.27368421052631,7.07
2022-01-01 07:00:00,-21.8,765.5,83.0,7.07
2022-01-01 07:30:00,-21.7,765.5,83.0,7.07
2022-01-01 08:00:00,-21.7,765.5,83.0,7.07
2022-01-01 08:30:00,-21.4,765.4,83.0,7.07
2022-01-01 09:00:00,-21.3,765.4,83.0,7.07
2022-01-01 09:30:00,-21.258064516129032,765.4,83.0,7.07
2022-01-01 10:00:00,-21.25212765957447,765.4,83.0,7.07
2022-01-01 10:30:00,-21.245263157894737,765.3,83.0,7.07
2022-01-01 11:00:00,-20.9,765.3,83.0,7.07
2022-01-01 11:30:00,-20.7,765.2,83.0,7.07
2022-01-01 12:00:00,-20.6,765.2,83.0,7.07
2022-01-01 12:30:00,-20.5,765.2,83.0,7.07
2022-01-01 13:00:00,-20.4,765.2,83.0,7.07
2022-01-01 13:30:00,-20.5,765.2,83.0,7.07
2022-01-01 14:00:00,-21.23510638297872,765.1,83.0,7.07
2022-01-01 14:30:00,-20.2,765.1,83.0,7.07
2022-01-01 15:00:00,-20.2,765.1,83.0,7.07
2022-01-01 15:30:00,-20.2,765.1,83.0,7.07
2022-01-01 16:00:00,-20.2,765.1,83.0,7.07
2022-01-01 16:30:00,-20.3,765.1,83.0,7.07
2022-01-01 17:00:00,-20.4,765.2,83.0,7.07
2022-01-01 17:30:00,-20.4,765.2,83.0,7.07
2022-01-01 18:00:00,-20.4,765.2,83.0,7.07
2022-01-01 18:30:00,-20.6,765.2,83.0,7.07
2022-01-01 19:00:00,-20.6,765.2,83.0,7.07
2022-01-01 19:30:00,-20.8,765.3,83.27368421052631,7.07
2022-01-01 20:00:00,-20.8,765.3,83.27083333333333,7.07
2022-01-01 20:30:00,-20.9,765.3,83.0,7.07
2022-01-01 21:00:00,-21.1,765.3,83.0,7.07
2022-01-01 21:30:00,-21.2,765.4,83.0,7.07
2022-01-01 22:00:00,-21.5,765.5,83.0,7.07
2022-01-01 22:30:00,-21.4,765.4,83.0,7.07
2022-01-01 23:00:00,-21.5,765.5,83.0,7.07
2022-01-01 23:30:00,-21.6,765.5,83.0,7.07
2022-01-02 00:00:00,-21.7,765.5,83.0,7.07
2022-01-02 00:30:00,-21.8,765.5,83.0,7.09
2022-01-02 01:00:00,-21.9,765.6,84.0,7.09
2022-01-02 01:30:00,-21.9,765.6,84.0,7.09
2022-01-02 02:00:00,-22.1,765.6,84.0,7.09
2022-01-02 02:30:00,-22.2,765.7,83.35051546391753,7.09
2022-01-02 03:00:00,-22.1,765.6,84.0,7.09
2022-01-02 03:30:00,-22.3,765.7,84.0,7.09
2022-01-02 04:00:00,-22.2,765.7,84.0,7.09
2022-01-02 04:30:00,-22.2,765.7,84.0,7.09
2022-01-02 05:00:00,-22.1,765.6,84.0,7.09
